name,club,league,nation,playstyle,global_score,stats_pace,stats_shooting,stats_passing,stats_dribbling,stats_defending,stats_physicality,price,position,player_type,is_icon,is_hero
Caroline Graham Hansen,241,2222,36,Trickster,90,89,87,88,90,47,76,28000,RW,Normal,False,False
Vinícius José de Oliveira Júnior,243,53,54,Quick+Step,90,95,84,81,91,29,69,88000,LW,Normal,False,False
Sophia Wilson,111140,2221,95,First+Touch,89,93,86,79,89,45,84,22250,ST,Normal,False,False
Rodrigo Hernández Cascante,10,13,45,Tiki+Taka,91,66,80,86,84,87,85,34250,CDM,Normal,False,False
Jude Bellingham,243,53,14,Relentless,90,80,87,83,88,78,83,27000,CAM,Normal,False,False
Aitana Bonmatí Conca,241,2222,45,Technical,91,81,86,86,91,77,75,35750,CM,Normal,False,False
Zinedine Zidane,112658,2118,18,Incisive+Pass,94,83,90,94,94,73,84,428000,CAM,Icon,True,False
Edson Arantes Nascimento,112658,2118,54,Technical,95,93,94,91,94,58,74,1700000,CAM,Icon,True,False
Mohamed Salah,9,13,111,Finesse+Shot,89,89,87,82,88,45,75,20000,RW,Normal,False,False
Kylian Mbappé,243,53,18,Quick+Step,91,97,90,80,92,36,78,373000,ST,Normal,False,False
Lauren James,5,2216,14,Trickster,86,89,81,80,87,40,82,5500,RW,Normal,False,False
Guro Reiten,5,2216,36,,88,88,80,85,86,60,66,13500,LM,Normal,False,False
Alexia Putellas Segura,241,2222,45,First+Touch,90,82,89,90,91,72,78,27750,CM,Normal,False,False
Virgil van Dijk,9,13,34,Aerial,89,78,60,71,71,89,86,23500,CB,Normal,False,False
Johan Cruyff,112658,2118,34,Tiki+Taka,88,86,87,85,88,37,70,703750,CAM,On This Day SBC,False,False
Diego Maradona,112658,2118,52,Technical,95,90,91,91,96,40,77,1120000,CAM,Icon,True,False
Ronaldo Luís Nazário de Lima,112658,2118,54,Technical,90,96,92,73,90,38,80,2700000,ST,Winter Wildcard ICON,True,False
Cole Palmer,5,13,14,,85,75,82,83,86,50,66,2500,RM,Normal,False,False
Sakina Karchaoui,73,2218,18,,87,89,66,82,87,80,65,8900,LB,Normal,False,False
Wendie Renard,66,2218,18,Anticipate,88,48,66,71,69,91,84,13500,CB,Normal,False,False
William Saliba,1,13,18,Anticipate,87,82,39,70,74,87,83,12750,CB,Normal,False,False
Daniel Carvajal Ramos,243,53,45,,86,81,58,79,81,81,79,5200,RB,Normal,False,False
Eusébio da Silva Ferreira,112658,2118,38,Rapid,91,92,92,84,91,44,77,520000,ST,Icon,True,False
Erling Haaland,10,13,36,Acrobatic,91,88,92,70,81,45,88,33750,ST,Normal,False,False
Khadija Shaw,10,2216,82,Aerial,86,69,86,71,78,32,85,5400,ST,Normal,False,False
C. Ronaldo dos Santos Aveiro,112139,350,38,Power+Shot,86,77,88,77,80,34,77,6600,ST,Normal,False,False
Ronaldo de Assis Moreira,112658,2118,54,Trickster,93,91,89,90,95,38,80,1740000,LW,Icon,True,False
Mia Hamm,112658,2118,95,Quick+Step,89,94,89,84,90,52,83,862000,ST,Winter Wildcard ICON,True,False
Ferenc Puskás,112658,2118,23,First+Touch,92,90,94,89,91,45,74,320000,ST,Icon,True,False
Kevin De Bruyne,10,13,7,Incisive+Pass,90,67,87,94,87,65,78,27500,CM,Normal,False,False
Emiliano Martínez,2,13,52,Rush+Out,87,84,82,83,86,56,87,9100,GK,Normal,False,False
Ann-Katrin Berger,116310,2221,21,Cross+Claimer,84,85,84,80,84,45,81,1400,GK,Normal,False,False
Alejandro Grimaldo García,32,19,45,Whipped+Pass,86,74,73,88,85,76,71,5300,LM,Normal,False,False
Irene Paredes Hernández,241,2222,45,Slide+Tackle,88,71,51,67,68,89,84,14000,CB,Normal,False,False
Lucy Bronze,5,2216,14,,85,71,68,80,79,84,87,2700,RB,Normal,False,False
Harry Kane,21,19,14,Finesse+Shot,90,65,93,84,83,49,82,27500,ST,Normal,False,False
Lamine Yamal,241,53,45,,81,82,75,76,82,23,48,650,RW,Normal,False,False
Bobby Charlton,112658,2118,14,Power+Shot,92,90,91,87,91,50,74,198000,CAM,Icon,True,False
Samuel Eto'o,112658,2118,103,Quick+Step,89,92,90,79,87,45,80,205000,ST,Icon,True,False
Manuel Franc. dos Santos,112658,2118,54,Technical,92,89,85,92,94,40,66,189000,RW,Icon,True,False
Roberto Baggio,112658,2118,27,Technical,91,84,82,90,91,38,60,73000,CAM,Icon,True,False
Aurélien Tchouaméni,243,53,18,,85,73,69,79,78,82,82,2800,CDM,Normal,False,False
Khvicha Kvaratskhelia,73,16,20,,85,86,79,80,86,41,71,2400,LW,normal,False,False
Blaise Matuidi,114605,16,18,Pinged+Pass,86,83,72,79,77,84,85,94000,CDM,Base Hero,False,True
Eden Hazard,114605,13,7,Technical,88,91,83,84,91,37,68,230000,LM,Base Hero,False,True
Antoine Griezmann,240,53,18,Finesse+Shot,88,80,88,87,89,59,75,14000,ST,Normal,False,False
Rafael da Conceição Leão,131681,31,38,Rapid,88,95,82,83,88,30,78,310000,LW,FUT Centurions,False,False
Ramires Santos do Nascimen.,114605,13,54,Intercept,86,88,78,80,81,84,83,226000,CDM,Base Hero,False,True
