name,club,league,nation,playstyle,global_score,stats_pace,stats_shooting,stats_passing,stats_dribbling,stats_defending,stats_physicality,price,position,player_type,is_icon,is_hero
Rodrigo Hernández Cascante,10,13,45,Tiki+Taka,91,66,80,86,84,87,85,38750,CDM,Normal,False,False
Aitana Bonmatí Conca,241,2222,45,Technical,91,81,86,86,91,77,75,42000,CM,Normal,False,False
Caroline Graham Hansen,241,2222,36,Trickster,90,89,87,88,90,47,76,31750,RW,Normal,False,False
Vinícius José de Oliveira Júnior,243,53,54,Quick+Step,90,95,84,81,91,29,69,96000,LW,Normal,False,False
Sophia Wilson,111140,2221,95,First+Touch,89,93,86,79,89,45,84,28500,ST,Normal,False,False
Jude Bellingham,243,53,14,Relentless,90,80,87,83,88,78,83,32000,CAM,Normal,False,False
Zinedine Zidane,112658,2118,18,Acrobatic,90,86,86,88,90,81,82,0,CAM,TOTY Eras,False,False
Edson Arantes Nascimento,112658,2118,54,Technical,95,93,94,91,94,58,74,1760000,CAM,Icon,True,False
Mohamed Salah,9,13,111,Finesse+Shot,89,89,87,82,88,45,75,22500,RW,Normal,False,False
Kylian Mbappé,243,53,18,Quick+Step,91,97,90,80,92,36,78,430000,ST,Normal,False,False
Lauren James,5,2216,14,Trickster,90,93,85,84,91,45,87,66500,RW,Total Rush,False,False
Guro Reiten,5,2216,36,,89,89,82,86,87,62,67,25500,LM,IF,False,False
Alexia Putellas Segura,241,2222,45,First+Touch,90,82,89,90,91,72,78,31000,CM,Normal,False,False
Virgil van Dijk,9,13,34,Aerial,89,78,60,71,71,89,86,25000,CB,Normal,False,False
Johan Cruyff,112658,2118,34,First+Touch,93,90,91,90,93,42,73,1150000,CAM,Icon,True,False
Diego Maradona,112658,2118,52,Technical,95,90,91,91,96,40,77,1320000,CAM,Icon,True,False
Rúben Santos Gato Alves Dias,10,13,38,Bruiser,93,86,53,80,81,93,92,364000,CB,FUT Birthday,False,False
William Saliba,1,13,18,Anticipate,90,86,42,73,77,90,88,410000,CB,Thunderstruck,False,False
Lamine Yamal,241,53,45,Trivela,94,96,92,93,96,40,70,2700000,RW,Future Stars,False,False
Erling Haaland,10,13,36,Acrobatic,91,88,92,70,81,45,88,39000,ST,Normal,False,False
Harry Kane,21,19,14,Finesse+Shot,90,65,93,84,83,49,82,31250,ST,Normal,False,False
Trinity Rodman,116304,2221,95,Whipped+Pass,95,97,92,91,91,50,90,0,RM,League Player,False,False
Marie Katoto,73,2218,18,Aerial,95,92,95,91,91,42,92,0,ST,League Player,False,False
Giulia Gwinn,21,2215,21,Intercept,95,91,80,91,92,95,84,0,RB,League Player,False,False
Lautaro Martínez,131682,31,52,Finesse+Shot,89,82,88,75,87,54,85,23500,ST,Normal,False,False
Lindsey Horan,66,2218,95,Aerial,92,86,91,93,90,75,87,72500,CM,TOTY Honourable Ment,False,False
Tarciane Karen dos Santos de Lima,116306,2221,54,Aerial,95,90,52,77,78,95,90,0,CB,League Player,False,False
Salma Celeste Paralluelo Ayingono,241,2222,45,Trivela,90,97,90,85,90,58,88,627650,LW,TOTY Honourable Ment,False,False
Ronaldo Luís Nazário de Lima,112658,2118,54,Technical,90,96,92,73,90,38,80,2990000,ST,Winter Wildcard ICON,True,False
Cole Palmer,5,13,14,Technical,90,85,88,90,92,55,73,266250,CAM,Winter Wildcards SBC,False,False
Sakina Karchaoui,73,2218,18,Whipped+Pass,90,92,69,85,90,86,71,41250,LB,Thunderstruck,False,False
Wendie Renard,66,2218,18,Anticipate,95,86,73,80,78,98,93,865000,CB,TOTY,False,False
Daniel Carvajal Ramos,243,53,45,Jockey,95,94,78,87,92,95,87,890000,RB,TOTY,False,False
Eusébio da Silva Ferreira,112658,2118,38,Rapid,91,92,92,84,91,44,77,570000,ST,Icon,True,False
Khadija Shaw,10,2216,82,Aerial,95,90,95,85,90,41,94,316000,ST,TOTY,False,False
C. Ronaldo dos Santos Aveiro,112139,350,38,Power+Shot,89,84,90,80,86,36,83,170000,ST,Total Rush,False,False
Ronaldo de Assis Moreira,112658,2118,54,Trickster,93,91,89,90,95,38,80,1940000,LW,Icon,True,False
Mia Hamm,112658,2118,95,Power+Shot,93,92,93,86,92,54,81,783000,ST,Icon,True,False
Ferenc Puskás,112658,2118,23,First+Touch,92,90,94,89,91,45,74,390000,ST,Icon,True,False
Kevin De Bruyne,10,13,7,Incisive+Pass,90,67,87,94,87,65,78,30250,CM,Normal,False,False
Emiliano Martínez,2,13,52,Rush+Out,94,91,89,90,93,63,94,310000,GK,TOTY,False,False
Ann-Katrin Berger,116310,2221,21,Cross+Claimer,94,95,94,90,94,55,91,187000,GK,TOTY,False,False
Alejandro Grimaldo García,32,19,45,Slide+Tackle,94,96,85,96,94,87,85,638000,LB,TOTY,False,False
Irene Paredes Hernández,241,2222,45,Slide+Tackle,94,85,57,80,80,95,93,325000,CB,TOTY,False,False
Lucy Bronze,5,2216,14,Anticipate,94,94,78,91,90,92,93,488000,RB,TOTY,False,False
Bobby Charlton,112658,2118,14,Power+Shot,92,90,91,87,91,50,74,226000,CAM,Icon,True,False
Samuel Eto'o,112658,2118,103,Quick+Step,89,92,90,79,87,45,80,219000,ST,Icon,True,False
Manuel Franc. dos Santos,112658,2118,54,Technical,92,89,85,92,94,40,66,225000,RW,Icon,True,False
Roberto Baggio,112658,2118,27,Technical,91,84,82,90,91,38,60,75000,CAM,Icon,True,False
Aurélien Tchouaméni,243,53,18,Anticipate,94,86,77,87,88,94,92,1760000,CB,Fantasy FC,False,False
Khvicha Kvaratskhelia,48,31,20,Trickster,89,89,84,85,90,44,74,27750,LW,Trailblazers,False,False
Blaise Matuidi,114605,16,18,Intercept,94,91,81,88,88,99,94,3700000,CDM,Fantasy FC Hero,False,True
Eden Hazard,114605,13,7,Technical,90,93,86,86,93,40,70,405000,LM,Prime Hero,False,True
Antoine Griezmann,240,53,18,Finesse+Shot,89,82,90,88,90,60,77,70000,ST,Total Rush,False,False
Rafael da Conceição Leão,131681,31,38,Quick+Step,92,96,87,87,92,46,85,919000,CAM,NumeroFUT,False,False
Ramires Santos do Nascimen.,114605,13,54,Intercept,94,95,86,90,89,92,91,2980000,CDM,World Cup Showdown,False,False
Patrick Vieira,112658,2118,18,Intercept,90,84,81,82,85,90,92,1250000,CM,Thunderstruck Icon,True,False
